service_id,alias
svc_fringe_perm_wb,wash & blow
svc_fringe_perm_wb,wash n blow
svc_fringe_perm_wb,wb
svc_special_perm_consult,by consultation
svc_special_perm_consult,keriting
svc_special_perm_consult,perm
svc_special_perm_consult,special perm
svc_special_perm_consult,special perm (by consultation)
svc_tokio_frizz_s,S
svc_tokio_frizz_s,pendek
svc_tokio_frizz_s,short
svc_tokio_frizz_s,tokio inkarami frizz control
svc_tokio_frizz_s,tokio inkarami frizz control (short)
svc_tokio_frizz_m,M
svc_tokio_frizz_m,medium
svc_tokio_frizz_m,sederhana
svc_tokio_frizz_m,tokio inkarami frizz control
svc_tokio_frizz_m,tokio inkarami frizz control (medium)
svc_tokio_frizz_l,L
svc_tokio_frizz_l,long
svc_tokio_frizz_l,panjang
svc_tokio_frizz_l,tokio inkarami frizz control
svc_tokio_frizz_l,tokio inkarami frizz control (long)
svc_fringe_rebond,bangs
svc_fringe_rebond,fringe
svc_fringe_rebond,fringe rebonding
svc_fringe_rebond,meluruskan
svc_fringe_rebond,meluruskan rambut
svc_fringe_rebond,mlrs
svc_fringe_rebond,poni
svc_fringe_rebond,rebond
svc_fringe_rebond,trim fringe
svc_rebond_touchup_m,M
svc_rebond_touchup_m,akar
svc_rebond_touchup_m,medium
svc_rebond_touchup_m,meluruskan
svc_rebond_touchup_m,meluruskan rambut
svc_rebond_touchup_m,mlrs
svc_rebond_touchup_m,rebond
svc_rebond_touchup_m,rebonding touch up
svc_rebond_touchup_m,rebonding touch up (medium)
svc_rebond_touchup_m,sederhana
svc_rebond_touchup_m,sentuh akar
svc_rebond_touchup_m,touch up
svc_rebond_touchup_m,touch up akar
svc_rebond_touchup_l,L
svc_rebond_touchup_l,akar
svc_rebond_touchup_l,long
svc_rebond_touchup_l,meluruskan
svc_rebond_touchup_l,meluruskan rambut
svc_rebond_touchup_l,mlrs
svc_rebond_touchup_l,panjang
svc_rebond_touchup_l,rebond
svc_rebond_touchup_l,rebonding touch up
svc_rebond_touchup_l,rebonding touch up (long)
svc_rebond_touchup_l,sentuh akar
svc_rebond_touchup_l,touch up
svc_rebond_touchup_l,touch up akar
svc_rebond_s,S
svc_rebond_s,meluruskan
svc_rebond_s,meluruskan rambut
svc_rebond_s,mlrs
svc_rebond_s,pendek
svc_rebond_s,rebond
svc_rebond_s,rebonding
svc_rebond_s,rebonding (short)
svc_rebond_s,short
svc_rebond_m,M
svc_rebond_m,medium
svc_rebond_m,meluruskan
svc_rebond_m,meluruskan rambut
svc_rebond_m,mlrs
svc_rebond_m,rebond
svc_rebond_m,rebonding
svc_rebond_m,rebonding (medium)
svc_rebond_m,sederhana
svc_rebond_l,L
svc_rebond_l,long
svc_rebond_l,meluruskan
svc_rebond_l,meluruskan rambut
svc_rebond_l,mlrs
svc_rebond_l,panjang
svc_rebond_l,rebond
svc_rebond_l,rebonding
svc_rebond_l,rebonding (long)
svc_headspa_tokio,spa rambut
svc_headspa_tokio,tokio inkarami head spa
svc_headspa_aveda,aveda botanical scalp
svc_headspa_aveda,aveda botanical scalp (branch-specific)
svc_headspa_aveda,branch
svc_headspa_aveda,kulit kepala
svc_headspa_aveda,rawatan scalp
svc_headspa_aveda,specific
svc_headspa_milbon,branch
svc_headspa_milbon,global milbon head spa
svc_headspa_milbon,global milbon head spa (branch-specific)
svc_headspa_milbon,spa rambut
svc_headspa_milbon,specific
svc_treat_pjoli_hydrating,pjoli hydrating treatment
svc_treat_pjoli_hydrating,rawatan
svc_treat_pjoli_hydrating,rawatan rambut
svc_treat_pjoli_hydrating,repair rambut
svc_treat_advante,advante treatment
svc_treat_advante,rawatan
svc_treat_advante,rawatan rambut
svc_treat_advante,repair rambut
svc_treat_ultra_sonic,rawatan
svc_treat_ultra_sonic,rawatan rambut
svc_treat_ultra_sonic,repair rambut
svc_treat_ultra_sonic,ultra sonic treatment
add_olaplex,add
add_olaplex,olaplex
add_olaplex,olaplex (add-on service)
add_olaplex,on service
svc_treat_tokio,rawatan
svc_treat_tokio,rawatan rambut
svc_treat_tokio,repair rambut
svc_treat_tokio,tokio inkarami treatment
svc_treat_tokio_limited,tokio inkarami limited
svc_treat_milbon_smooth,global milbon smooth treatment
svc_treat_milbon_smooth,rawatan
svc_treat_milbon_smooth,rawatan rambut
svc_treat_milbon_smooth,repair rambut
svc_treat_milbon_color_preserve,color
svc_treat_milbon_color_preserve,colour
svc_treat_milbon_color_preserve,dye
svc_treat_milbon_color_preserve,global milbon color preserve treatment
svc_treat_milbon_color_preserve,pewarna rambut
svc_treat_milbon_color_preserve,rawatan
svc_treat_milbon_color_preserve,rawatan rambut
svc_treat_milbon_color_preserve,repair rambut
svc_treat_milbon_color_preserve,warna
svc_treat_milbon_repair,global milbon repair treatment
svc_treat_milbon_repair,rawatan
svc_treat_milbon_repair,rawatan rambut
svc_treat_milbon_repair,repair rambut
svc_keratin_s,S
svc_keratin_s,kamishitsu
svc_keratin_s,kamishitsukaizen
svc_keratin_s,keratin
svc_keratin_s,keratin treatment
svc_keratin_s,keratin treatment (short)
svc_keratin_s,pendek
svc_keratin_s,rawatan
svc_keratin_s,rawatan keratin
svc_keratin_s,rawatan rambut
svc_keratin_s,repair rambut
svc_keratin_s,short
svc_keratin_m,M
svc_keratin_m,kamishitsu
svc_keratin_m,kamishitsukaizen
svc_keratin_m,keratin
svc_keratin_m,keratin treatment
svc_keratin_m,keratin treatment (medium)
svc_keratin_m,medium
svc_keratin_m,rawatan
svc_keratin_m,rawatan keratin
svc_keratin_m,rawatan rambut
svc_keratin_m,repair rambut
svc_keratin_m,sederhana
svc_keratin_l,L
svc_keratin_l,kamishitsu
svc_keratin_l,kamishitsukaizen
svc_keratin_l,keratin
svc_keratin_l,keratin treatment
svc_keratin_l,keratin treatment (long)
svc_keratin_l,long
svc_keratin_l,panjang
svc_keratin_l,rawatan
svc_keratin_l,rawatan keratin
svc_keratin_l,rawatan rambut
svc_keratin_l,repair rambut
svc_keratin_el,EL
svc_keratin_el,L
svc_keratin_el,ekstra panjang
svc_keratin_el,extra long
svc_keratin_el,kamishitsu
svc_keratin_el,kamishitsukaizen
svc_keratin_el,keratin
svc_keratin_el,keratin treatment
svc_keratin_el,keratin treatment (extra long)
svc_keratin_el,long
svc_keratin_el,panjang
svc_keratin_el,rawatan
svc_keratin_el,rawatan keratin
svc_keratin_el,rawatan rambut
svc_keratin_el,repair rambut
svc_keratin_el,sangat panjang
svc_scalp_shiseido_fuente,shiseido sublimic fuente forte with tansan
svc_scalp_shiseido_adeno,kulit kepala
svc_scalp_shiseido_adeno,rawatan scalp
svc_scalp_shiseido_adeno,shiseido adenovital scalp
svc_scalp_tansan_wash,tansan sparkling hair wash
